artist_name,genre,track_name,coherence_prime,diversity,novelty,LQS
johnny mathis,pop,a ride on a rainbow,0.0,0.0,0.0,0.0
johnny mathis,pop,someone,0.0,0.0,0.0,0.0
"blood, sweat & tears",pop,you've made me so very happy,0.0,0.0,0.0,0.0
jackie wilson,pop,someone to need me (as i need you),0.0,0.0,0.0,0.0
ricky nelson,pop,i can't help it (if i'm still in love with you),0.0,0.0,0.0,0.0
ricky nelson,pop,it's all in the game,0.0,0.0,0.0,0.0
jerry lee lewis,pop,your cheating heart,0.0,0.0,0.0,0.0
sam cooke,pop,the japanese farewell song,0.0,0.0,0.0,0.0
the brothers four,pop,i am a roving gambler,0.0,0.0,0.1055543025334676,0.0263885756333669
bobby darin,pop,christmas auld land syne,0.0,0.0,0.27339531977971393,0.06834882994492848
miriam makeba,pop,"lakutshn, ilanga",0.0,0.0,0.0,0.0
the everly brothers,pop,"oh, true love",0.0,0.0,0.0,0.0
the everly brothers,pop,you thrill me (through and through),0.0,0.0,0.1316746473312378,0.03291866183280945
fats domino,pop,three nights a week,0.0,0.0,0.0,0.0
patti page,pop,with my eyes wide open i'm dreaming,0.0,0.0,0.0,0.0
fats domino,pop,don't come knockin',0.0,0.0,0.032814780871073396,0.008203695217768349
brook benton,pop,september song,0.0,0.0,0.0,0.0
the flamingos,pop,you belong to my heart,0.0,0.0,0.0,0.0
harry belafonte,pop,a hole in the bucket,0.0,0.0,0.4849162101745606,0.12122905254364015
sam cooke,pop,sweet leilani,0.0,0.0,0.14622602860132852,0.03655650715033213
the everly brothers,pop,memories are made of this,0.0,0.0,0.0,0.0
the everly brothers,pop,some sweet day,0.0,0.0,0.03834023078282674,0.009585057695706684
the flamingos,pop,at night,0.0,0.0,0.0,0.0
bobby darin,pop,guys and dolls,0.0,0.0,0.0,0.0
jackie wilson,pop,"a woman, a lover, a friend",0.0,0.0,0.006795366605122875,0.0016988416512807188
the brothers four,pop,"theme from ""la fayette""",0.0,0.0,0.0,0.0
connie francis,pop,summertime in venice,0.0,0.0,0.17255141337712607,0.04313785334428152
the flamingos,pop,tell me how long,0.0,0.0,0.0,0.0
the moody blues,pop,steal your heart away,0.0,0.0,0.03243788083394368,0.00810947020848592
the flamingos,pop,when i fall in love,0.0,0.0,0.0,0.0
miriam makeba,pop,one more dance,0.0,0.0,0.0,0.0
the flamingos,pop,tenderly,0.0,0.0,0.2676011522610982,0.06690028806527455
fats domino,pop,it's the talk of the town,0.0,0.0,0.0,0.0
brenda lee,pop,blueberry hill,0.0,0.0,0.2141910195350647,0.053547754883766174
brenda lee,pop,teach me tonight,0.0,0.0,0.021282275517781567,0.005320568879445392
the platters,pop,moonlight on the colorado,0.0,0.0,0.02597594261169433,0.006493985652923582
johnny mathis,pop,don't blame me,0.0,0.0,0.0,0.0
mohammed rafi,pop,saathi na koi manzil,0.0,0.0,0.0,0.0
ike & tina turner,pop,i had a notion,0.0,0.0,0.0019445419311523346,0.00048613548278808366
si zentner,pop,little jazz,0.0,0.0,0.0,0.0
neil sedaka,pop,circulate,0.0,0.0,0.0,0.0
neil sedaka,pop,sweet little you,0.0,0.0,0.3093593716621399,0.07733984291553497
neil sedaka,pop,king of clowns,0.0,0.0,0.0,0.0
neil sedaka,pop,look inside your heart,0.0,0.0,0.0,0.0
bobby darin,pop,somebody to love,0.0,0.0,0.1711264650026957,0.04278161625067393
neil sedaka,pop,smile,0.0,0.0,0.0,0.0
annette funicello,pop,lonely guitar,0.0,0.0,0.08335246642430623,0.020838116606076557
fats domino,pop,you always hurt the one you love,0.0,0.0,0.04844669500986734,0.012111673752466835
ike & tina turner,pop,chances are,0.0,0.0,0.0,0.0
ike & tina turner,pop,sleepless,0.0,0.0,0.0,0.0
annette funicello,pop,i love you,0.0,0.0,0.18826071421305338,0.047065178553263344
frankie avalon,pop,bobby sox to stockings,0.0,0.0,0.0,0.0
eden ahbez,pop,the wanderer,0.0,0.0,0.0,0.0
sam cooke,pop,(ain't that) good news,0.0,0.0,0.10051522652308145,0.025128806630770363
patti page,pop,changing partners,0.0,0.0,0.0,0.0
sam cooke,pop,good times,0.0,0.0,0.0,0.0
the everly brothers,pop,always it's you,0.0,0.0,0.0,0.0
frankie avalon,pop,just ask your heart,0.0,0.0,0.05561574300130208,0.01390393575032552
the everly brothers,pop,so sad (to watch good love go bad),0.0,0.0,0.0,0.0
sam cooke,pop,keep movin' on,0.0,0.0,0.07650250196456909,0.019125625491142273
