artist_name,genre,LQS_mean,n
bill evans,jazz,0.03450513762586257,17
emeli sandé,pop,0.03448594113190969,1
duane eddy,blues,0.03440847992897034,1
ab-soul,pop,0.034303128719329834,1
o.t. genasis,pop,0.03411801407734553,2
alphaville,pop,0.03401491045951843,2
bulletboys,rock,0.033999269207318626,1
annette funicello,pop,0.03395164757966995,2
charlie hunter,jazz,0.03394950677951177,2
phoenix,rock,0.03381322721640269,5
rufus thomas,blues,0.033791715900103256,4
a-ha,rock,0.03350199262301127,1
big bad voodoo daddy,jazz,0.033459258852181616,9
bleu edmondson,country,0.03328333795070648,2
chilliwack,rock,0.03323868910471598,1
jeanne pruett,country,0.03320133686065674,1
red sun rising,rock,0.033149853348731995,1
j. rawls,hip hop,0.03303476174672445,2
bts,pop,0.03302859597735935,6
pinchers,reggae,0.03301294768850009,4
demarco,reggae,0.03299543162186941,5
bing crosby,jazz,0.03299328188101451,23
chris botti,jazz,0.032989972167544894,9
missing persons,pop,0.03297718117634455,2
bob james,jazz,0.03295775130391121,10
roy haynes,jazz,0.032872567574183144,1
they might be giants,pop,0.03280291457970937,11
de-phazz,jazz,0.032757672998640276,3
earl king,blues,0.03275578717390696,2
jonathan fritzén,jazz,0.03272626300652822,1
blue stahli,rock,0.03268963098526001,1
mission of burma,pop,0.03266033281882604,4
walk the moon,rock,0.032640780011812844,1
shaun cassidy,pop,0.03250211228926976,2
marion meadows,jazz,0.03246418386697769,2
larkin poe,blues,0.03221874104605781,6
lindsey stirling,pop,0.03202774624029795,1
sunn 0))),jazz,0.03192532559235891,1
goldfish,jazz,0.03190712630748749,3
leif garrett,pop,0.031845505038897194,1
parov stelar,jazz,0.03184156140519513,12
mongo santamaria,jazz,0.03184081117312113,1
kix,rock,0.031832486391067505,2
linton kwesi johnson,reggae,0.03181651908726919,14
nuyorican soul,jazz,0.031750368575255074,2
bob marley & the wailers,reggae,0.031745410107430955,35
vampire weekend,pop,0.03163613503177961,4
jane wiedlin,pop,0.03162240982055664,1
aaron shust,rock,0.03161861002445221,2
willie colón,jazz,0.0316179096698761,2
the ethiopians,reggae,0.03152383118867874,13
mindless self indulgence,rock,0.031489748093816966,3
kalabrese,jazz,0.0310630202293396,1
neil diamond,rock,0.030881995956103005,1
bette midler,pop,0.03070969631274541,2
gillian welch,pop,0.030705715219179787,2
k.d. lang,pop,0.030648179352283478,2
blues saraceno,blues,0.030644428496267282,17
the dead weather,blues,0.03063266334079561,7
annella,jazz,0.030595223108927407,1
shabba ranks,reggae,0.030518369749188423,8
laura fygi,jazz,0.030513544877370197,3
big yayo,blues,0.030509665608406067,1
argent,pop,0.030441897610823315,2
vicente garcia,reggae,0.030418068170547485,2
mitchell tenpenny,country,0.03039055565992991,1
alvino rey,jazz,0.030375579992930092,1
the five keys,blues,0.030322520683209103,4
foghat,country,0.03030429035425186,4
"dave dee, dozy, beaky, mick & tich",pop,0.03027524550755819,2
leon redbone,jazz,0.03021260185374154,12
jazz spastiks,jazz,0.030186012387275696,1
joe liggins,blues,0.030144934852917988,1
ali farka touré,blues,0.030127160251140594,2
ritchie valens,pop,0.029983834425608313,5
book of love,rock,0.02996242046356201,1
ms. jade,hip hop,0.02992628514766693,1
emphatic,rock,0.029906938473383583,1
tito puente,jazz,0.029886581003665924,2
the feelies,pop,0.029836439092953998,5
the chiffons,blues,0.029772959649562836,2
pirates of the mississippi,country,0.02976614236831665,2
goldfrapp,pop,0.029757574200630188,2
oi va voi,jazz,0.02974682549635569,1
the bassies,reggae,0.029739300409952797,1
mental as anything,pop,0.029590537150700886,1
little anthony & the imperials,blues,0.029573593537012742,5
gene autry,country,0.02954163319534726,6
ini kamoze,reggae,0.029534073339568243,9
dinosaur jr.,pop,0.02946704526742299,5
the union underground,rock,0.029461617271105446,1
system of a down,rock,0.029451303905056368,31
salt-n-pepa,hip hop,0.029427145918210346,1
johnny clegg,pop,0.02942220369974772,1
the orlons,pop,0.02938606838385264,1
the allman brothers band,country,0.0293772311674224,9
toots & the maytals,reggae,0.029348097157244592,17
smif-n-wessun,hip hop,0.02934760848681132,3
the miracles,pop,0.029319403900040522,9
mason ramsey,country,0.029314716657002766,1
gretchen parlato,jazz,0.02919990321000417,1
jitwam,jazz,0.029199406504631042,1
meduza,pop,0.029166375597318012,1
surfaces,pop,0.029138783613840737,1
bronski beat,pop,0.029115202526251473,2
freeman,hip hop,0.029114142060279846,2
christine mcvie,rock,0.029101083676020302,1
pablo moses,reggae,0.029066326717535652,2
the five satins,pop,0.029005244374275208,1
fruit bats,rock,0.02895634373029073,1
lowell george,country,0.028953451249334548,3
trini lopez,pop,0.028668080766995747,1
unified highway,reggae,0.02854731182257335,4
tradition,reggae,0.028514283398787182,2
peter tosh,reggae,0.028450005299722157,32
kasabian,rock,0.02841701606909434,2
fats waller,jazz,0.028409384191036224,2
lisa ekdahl,jazz,0.028408179680506386,1
gucci mane,pop,0.02839396521449089,4
thievery corporation,jazz,0.028325956219281908,26
shenseea,reggae,0.02832297815216912,3
jona lewie,pop,0.02824116249879201,1
asha puthli,jazz,0.02814743419488271,1
can,pop,0.028054780430263944,9
lloyd price,pop,0.02801685780286789,2
jonathan butler,jazz,0.02792679908729735,7
tenor saw,reggae,0.027904296914736428,2
grand funk railroad,blues,0.02769088365283667,17
warren hill,jazz,0.02761180533303155,3
sister rosetta tharpe,blues,0.02740730029163939,11
altered images,pop,0.0273960679769516,1
wire,blues,0.027319612602392837,8
susannah mccorkle,jazz,0.027161729832490284,2
wings,pop,0.027153994691999334,19
mabel,pop,0.027141034603118896,1
the band of heathens,country,0.027098392446835835,1
solange,pop,0.027068043748537697,1
the searchers,pop,0.02705555260181427,5
bone thugs-n-harmony,pop,0.027001986900965374,3
the jon spencer blues explosion,blues,0.026984480520089466,2
john fogerty,blues,0.026930692502193983,12
snoop dogg,pop,0.026842130791573302,7
hiatus kaiyote,jazz,0.026839098105063804,13
love,country,0.02676229344473945,3
jerry garcia,blues,0.026756977041562397,8
ella mae morse,blues,0.026727764142884147,3
eddie cochran,pop,0.026692827542622883,10
lee dorsey,blues,0.026688088973363243,2
t-bone walker,blues,0.026682355337672766,6
iggy pop,rock,0.0265950471162796,5
celldweller,rock,0.02654712398846944,1
phish,pop,0.026492821447777034,11
sweethearts of the rodeo,country,0.02646417419115702,1
henace,jazz,0.026444902022679646,1
culture club,pop,0.026392458875974016,5
the reggae boys,reggae,0.02632296085357666,1
sonny landreth,blues,0.026299312710762024,2
the cleftones,pop,0.02622513473033905,1
wayne wonder,reggae,0.02620623122762751,9
ingrid michaelson,pop,0.026112241049607594,2
curtis stigers,jazz,0.02609594166278839,1
the dubs,blues,0.026079172889391582,2
trent tomlinson,country,0.026020300885041554,2
kiefer,jazz,0.02600939075152079,1
miles davis,jazz,0.025989718960993214,11
wild cherry,rock,0.025833656390508015,1
the fall,blues,0.02572981038918862,39
the hunches,blues,0.025691871841748554,1
rooney,pop,0.02567894011735916,2
the kingston trio,rock,0.025639108220736187,25
todd rundgren,country,0.025617933699062897,7
susie arioli,jazz,0.025527412692705788,1
the chainsmokers,pop,0.02552008628845215,2
perry como,jazz,0.025512401594056027,15
cab calloway,blues,0.025508050123850507,10
colt ford,country,0.02543396254380544,4
clarence carter,blues,0.025424596667289738,5
trillville,hip hop,0.025394568840662636,1
grace jones,pop,0.025357757295881,7
the andrews sisters,jazz,0.02534105269997208,9
gary clark jr.,blues,0.025300894045468536,11
the bobby fuller four,pop,0.025224347909291584,1
the cramps,blues,0.025200891874584498,34
chris montez,rock,0.025167226791381836,1
ohio players,jazz,0.0251110042962763,12
denis solee,jazz,0.025033921003341675,4
aimee mann,pop,0.025005064904689785,2
klass band brotherhood,blues,0.024985556801160175,1
madeintyo,pop,0.02495257556438446,1
donovan,pop,0.02493901751817219,21
the beach boys,pop,0.024917032094404042,81
art pepper,jazz,0.02490499864021937,4
"arthur ""big boy"" crudup",blues,0.0248651256163915,2
jackie greene,blues,0.02483611802260081,2
butthole surfers,rock,0.024827003479003906,2
fernando ortega,rock,0.024806246161460876,1
the almighty defenders,blues,0.02479575326045354,2
ty segall,blues,0.02477749301628633,22
mogwai,rock,0.024737005432446797,1
audiodub,reggae,0.02472160259882609,2
lead belly,country,0.02466388709015317,3
awolnation,rock,0.024621779719988503,4
steve oliver,jazz,0.02452269693215688,4
collective soul,rock,0.024502026538054146,2
the youngbloods,pop,0.024463370442390442,1
porno for pyros,rock,0.024438063303629555,1
asleep at the wheel,country,0.02439436068137487,4
lee perry & the upsetters,reggae,0.024370436867078144,1
candy dulfer,jazz,0.02435582213931613,3
fatback band,jazz,0.02427450567483902,4
reel people,jazz,0.02425423264503479,1
louis prima,blues,0.024252400423089664,16
penguin cafe orchestra,pop,0.02425060669581095,1
shriekback,rock,0.024230639139811196,1
future,pop,0.024121036132176716,4
buster brown,blues,0.024093771974245705,1
samantha fish,blues,0.024052609172132283,6
the modern jazz quartet,jazz,0.02402017845047845,3
robben ford & the blue line,blues,0.023999731987714767,4
egypt central,rock,0.023906391113996506,4
graham central station,jazz,0.023877251893281937,4
al kooper,blues,0.02379755013518863,3
wipers,blues,0.023779200333537476,11
celtic woman,pop,0.02376803755760193,3
ty dolla $ign,pop,0.02372969190279643,3
babe rainbow,reggae,0.023721674084663393,5
culture,reggae,0.023699032290587348,21
shocking blue,rock,0.023602431019147236,1
the dovells,blues,0.023596896727879842,5
oliver nelson,jazz,0.023536791404088337,1
bo diddley,blues,0.023512267818053562,12
joe walsh,blues,0.0234961174428463,8
chezidek,reggae,0.02348291128873825,2
american football,rock,0.02340191851059596,2
aaliyah,pop,0.02339628959695498,4
avail hollywood,blues,0.02338943878809611,2
taj mahal,blues,0.02334039796281744,9
iron butterfly,blues,0.02327652937836117,6
jerry butler,blues,0.023259960114955902,4
yusuf / cat stevens,rock,0.023185383528470993,4
andrew belle,rock,0.023139563699563343,2
badbadnotgood,jazz,0.023127758502960206,5
pale saints,pop,0.023091718554496765,1
xtc,pop,0.02308431184954114,18
status quo,blues,0.02307580080297258,3
minutemen,pop,0.023052823626332816,12
avicii,pop,0.02303234487771988,4
pyeng threadgill,blues,0.022932002941767372,1
diana king,reggae,0.022861639658610027,2
(hed) p.e.,rock,0.022834581633408863,2
chuck fenda,reggae,0.02283165107170741,2
alex bugnon,jazz,0.0227653831243515,1
boney james,jazz,0.02273267566684693,21
junior reid,reggae,0.022715184423658583,3
badflower,rock,0.02271180848280589,2
r.e.m.,pop,0.02262943104973861,28
lone justice,country,0.022629278401533764,4
bob weir,blues,0.022620176275571186,3
rich mullins,rock,0.022614963352680206,2
the time,rock,0.022607803344726562,1
10cc,pop,0.022512374445796013,8
necrophagist,jazz,0.022504821971610738,9
temple of the dog,rock,0.022500081194771662,3
granger smith,pop,0.02246942122777303,1
the crusaders,jazz,0.022453190883000695,5
jimmy reed,blues,0.02244390298922857,9
grandmaster melle mel,hip hop,0.022424330314000446,3
t. rex,blues,0.02241234519542792,13
joan baez,pop,0.02235958122071766,14
jerry vale,pop,0.02234682771894667,12
have a nice life,jazz,0.022318598769959952,7
faster pussycat,rock,0.022227806349595387,2
zara larsson,pop,0.022147928675015766,1
the treacherous three,hip hop,0.022144824266433716,1
dead kennedys,rock,0.022109692295392353,10
benny goodman,jazz,0.022062814484039944,8
left lane cruiser,blues,0.02204544097185135,2
them,pop,0.021984562277793884,1
koop,jazz,0.021935911642180547,6
glen adams,reggae,0.021934717893600464,1
gordon lightfoot,rock,0.02187650402386983,1
dj laz,hip hop,0.021711647510528564,1
hank ballard,blues,0.021694537666108873,3
the head and the heart,pop,0.021687878916660946,4
junior byles,reggae,0.02163655310869217,2
the elovaters,reggae,0.02162786324818929,3
the guess who,blues,0.021592078937424555,3
alexis korner's blues incorporated,blues,0.021505415439605713,1
sleep,rock,0.021479859948158264,1
filter,pop,0.021463394165039062,1
gorguts,jazz,0.021434800492392648,6
turbonegro,rock,0.021343713005383808,1
ronnie foster,jazz,0.021338889996210735,2
lloyd price,blues,0.021315606931845348,2
ramsey lewis,jazz,0.02128291130065918,2
taio cruz,pop,0.021253878871599834,2
faith evans,pop,0.021237250417470932,4
hugh mundell,reggae,0.021222790082295735,1
little walter,blues,0.0210800998740726,6
joe bataan,jazz,0.02107256733708911,6
authority zero,pop,0.021009034580654565,3
blancmange,pop,0.021008511384328205,1
ying yang twins,hip hop,0.02095738798379898,2
large professor,jazz,0.020921260118484497,2
galantis,pop,0.020917210314008925,3
david axelrod,jazz,0.020904983083407082,4
darlene love,pop,0.020885498987303838,3
saweetie,pop,0.020804844796657562,2
11 acorn lane,jazz,0.02080228676398595,2
commander cody and his lost planet airmen,country,0.020676960547765095,1
rich the kid,pop,0.02066728721062342,2
capleton,reggae,0.0206643935470354,14
yazz,pop,0.02066268026828766,1
113,hip hop,0.02058631181716919,1
sun ra,rock,0.020586258835262723,3
queens of the stone age,rock,0.02047123263279597,2
escape the fate,pop,0.020465725660324098,5
toe,rock,0.02046235899130503,1
"clarence ""frogman"" henry",pop,0.020457342267036438,1
yung lean,hip hop,0.02042297025521596,1
band of rascals,blues,0.020412415266036987,1
ted nugent,blues,0.02039342146852742,23
kurtis blow,hip hop,0.020391679058472317,4
"clarence ""frogman"" henry",blues,0.02033234635988871,1
michael nesmith,pop,0.020318016409873962,1
bernard allison,blues,0.0203112984697024,2
richard & linda thompson,country,0.020260540147622425,4
i-octane,reggae,0.020116503039995827,1
rosemary clooney,jazz,0.020094005898995834,11
young thug,pop,0.02009045084317525,2
fats domino,pop,0.019975591202576953,10
eurythmics,pop,0.019958621925777856,3
